No.,Trade Test Centre,Accreditation Number,SAQA ID,Trade Title,Physical Address,Contact No,Email Address,Contact Person,Start Date,End Date
,MPK Electrical and Projects ,09-QCTO/AC-TTC071222094944,91761,Occupational Certificate: Electrician,"Unit 16, No : 42 Lood Street, Ladana
Polokwane Limpopo 0700",011 749 3284/54,kabongompk@gmail.com,Patient Kabongo,07-Dec-22,06-Dec-27
,MPK Electrical and Projects (Pty) Ltd,07-QCTO/AC-TTC260523130727,91782,Occupational Certificate: Plumber,34/36 Pettit Street Germiston Gauteng 1401,117493284,kabongompk@gmail.com,Mulombo kabongo,26-May-23,25-May-28
,MPK Electrical and Projects (Pty) Ltd,07-QCTO/AC-TTC250124105317,94100,Occupational Certificate: Welder    ,34/36 Pettit Street Germiston Gauteng 1401,117493284,admin@mpkelectrical.co.za kabongo.p@gmail.com,Patient Kabongo,25-Jan-24,24-Jan-29
,MPK Electrical and Projects (Pty) Ltd,07-QCTO/AC-TTC250124105317,93626,"Occupational Certificate: Boilermaker
",34/36 Pettit Street Germiston Gauteng 1401,117493284,admin@mpkelectrical.co.za kabongo.p@gmail.com,Patient Kabongo,25-Jan-24,24-Jan-29
,Mpumalanga Traffic Training College,AC-TTC030823094046,97639,Occupational Certificate: Traffic Officer,"R536 Road (Kruger Gate Road), Mkhuhlu
Hazyview Mpumalanga 1280",137667262,granny.sebake@rtmc.co.za,Nhlanhla Maphanga,02-Aug-23,01-Aug-28
,Mpumalanga Traffic Training College,AC-TTC030823094046,101875,Occupational Certificate: Road Traffic Safety Officer,"R536 Road (Kruger Gate Road), Mkhuhlu
Hazyview Mpumalanga 1280",137667262,granny.sebake@rtmc.co.za,Nhlanhla Maphanga,02-Aug-23,01-Aug-28
,Mpumelelo Artisan Training Centre,08-QCTO/AC-TTC151122230445,94100,Occupational Certificate: Welder,"141 B Sabelo Street, Kamaqhekeza Mpumalanga 1346",013 010 1530,tmntuli@hotmail.com,Thabo Ntuli,14-Nov-22,13-Nov-27
,MSC Artisan Academy (Pty) Ltd,QCTOASC00210614- 2340,91761,Occupational Certificate: Electrician,John Knox Campus - Mfaxa Street Nul – Mdantsane 5219,"0437261842
0827726963",willie@maasa.com,Willie Gresse,14-Jun-21,13-Jun-26
,MSC Artisan Academy (Pty) Ltd,QCTOASC00210614- 2340,94020,Occupational Certificate: Fitter & Turner,John Knox Campus - Mfaxa Street Nul – Mdantsane 5219,"0437261842
0827726963",willie@maasa.com,Willie Gresse,14-Jun-21,13-Jun-26
,MSC Artisan Academy (Pty) Ltd,QCTOASC00210614- 2340,91761,Occupational Certificate: Electrician,John Knox Campus - Mfaxa Street Nul –Mdantsane 5219,"0437261842
0827726963",willie@maasa.com,Willie Gresse,14-Jun-21,13-Jun-26
,MSC Artisan Academy (Pty) Ltd,AC-TTC170823120452,97585,Occupational Certificate: Millwright,"Unit 40, Frame Park, Phillip Frame Road, Chiselhurst East London Eastern Cape 5247",437261842,willie@maasa.com,Willie Gresse,17-Aug-23,16-Aug-28
,MSC Artisan Academy (Pty) Ltd,02-QCTO/AC-TTC150224131903,94021,"Occupational Certificate: Mechanical Fitter
","Unit 40, Frame Park, Phillip Frame Road, Chiselhurst East London Eastern Cape 5247",437261842,willie@maasa.com,Willie Gresse,15-Feb-24,14-Feb-29
,MSC Artisan Academy (Pty) Ltd,02-QCTO/AC-TTC150224131903,94020,"Occupational Certificate: Fitter and Turner
","Unit 40, Frame Park, Phillip Frame Road, Chiselhurst East London Eastern Cape 5247",437261842,willie@maasa.com,Willie Gresse,15-Feb-24,14-Feb-29
,MSC Artisan Academy Pty(Ltd),QCTOASC00210727- 2353,94100,Occupational Certificate:Welder,"John Knox Campus, Mfaxa Street, Nul Mdantsane","0437261842
082772963",Willie@maasa.com,Willie Gresse,26-Jul-21,25-Jul-26
,MSC Artisan Academy Pty(Ltd),QCTOASC00210727- 2353,91761,Occupational Certificate:Electrician,"John Knox Campus, Mfaxa Street, Nul Mdantsane","0437261842
082772963",Willie@maasa.com,Willie Gresse,26-Jul-21,25-Jul-26
,MSC Artisan Academy Pty(Ltd),QCTOASC00210727- 2353,91782,Occupational Certificate: Plumber,"John Knox Campus, Mfaxa Street, Nul Mdantsane","0437261842
082772963",Willie@maasa.com,Willie Gresse,26-Jul-21,25-Jul-26
,MSC Artisan Academy Pty(Ltd),QCTOASC00210614-2340,94020,"Occupational Certificate:
Fitter and Turner","Unit 40, Frame Park, Phillip Frame Road - Chiselhurst, East London 0247","0437261842
0827726963",Willie@maasa.com,"Willie
Gresse",26-Jul-21,25-Jul-26
,MSC Artisan Academy Pty(Ltd),QCTOASC00210614-2340,94021,Occupational Certificate: Mechanical Fitter,"Unit 40, Frame Park, Phillip Frame Road - Chiselhurst, East Londonr 0247","0437261842
0827726963",Willie@maasa.com,"Willie
Gresse",26-Jul-21,25-Jul-26
,Mthetana Trading and Construction Cc,AC-TTC231123183003,94022,Occupational Certificate: Carpenter,"252 Chamberlain Road, Jacobs Durban KwaZulu-Natal",722515066,multyskillt@gmail.com,Membrey Mtembu,23-Nov-23,22-Nov-28
,Mthetana Trading and Construction Cc,AC-TTC231123183003,94100,Occupational Certificate: Welder    ,"252 Chamberlain Road, Jacobs Durban KwaZulu-Natal",722515066,multyskillt@gmail.com,Membrey Mtembu,23-Nov-23,22-Nov-28
,Mthetana Trading and Construction Cc,AC-TTC231123183003,94021,"Occupational Certificate: Mechanical Fitter
","252 Chamberlain Road, Jacobs Durban KwaZulu-Natal",722515066,multyskillt@gmail.com,Membrey Mtembu,23-Nov-23,22-Nov-28
,Mthetana Trading and Construction Cc,AC-TTC231123183003,97585,Occupational Certificate: Millwright,"252 Chamberlain Road, Jacobs Durban KwaZulu-Natal",722515066,multyskillt@gmail.com,Membrey Mtembu,23-Nov-23,22-Nov-28
,Mthetana Trading and Construction Cc,AC-TTC231123183003,93627,Occupational Certificate: Bricklayer,"252 Chamberlain Road, Jacobs Durban KwaZulu-Natal",722515066,multyskillt@gmail.com,Membrey Mtembu,23-Nov-23,22-Nov-28
,Mthetana Trading and Construction Cc,AC-TTC231123183003,91761,Occupational Certificate: Electrician ,"252 Chamberlain Road, Jacobs Durban KwaZulu-Natal",722515066,multyskillt@gmail.com,Membrey Mtembu,23-Nov-23,22-Nov-28
,Mthetana Trading and Construction Cc,AC-TTC231123183003,93626,"Occupational Certificate: Boilermaker
","252 Chamberlain Road, Jacobs Durban KwaZulu-Natal",722515066,multyskillt@gmail.com,Membrey Mtembu,23-Nov-23,22-Nov-28
,Mthetana Trading and Construction Cc,AC-TTC231123183325,91782,Occupational Certificate: Plumber,"252 Chamberlain Road, Jacobs Durban KwaZulu-Natal",722515066,multyskillt@gmail.com,Membrey Mtembu,23-Nov-23,22-Nov-28
,MTL Training and Projects,QCTOASC00210726-2542,91782,Occupational Certificate: Plumber,"Top Floor, Endalini – Corner Underwood & Cavershem Pinetown 3600",0827662299/ 0861122919,mbali@mtltrainingandprojects.co.za,Siphumelele Vikilahle,08-Aug-22,07-Aug-27
,MTL Training and Projects (Pty) Ltd,08-QCTO/AC-TTC250124145949,91782,Occupational Certificate: Plumber,"Malekutu, Lasanda 1 Malekutu Mpumalanga 1242",767208793,mtl.leeut@gmail.com,Mbali Majola,25-Jan-24,24-Jan-29
,MTL Training and Projects (Pty) Ltd,05-QCTO/AC-TTC250124150733,91782,Occupational Certificate: Plumber,"Inkosi-SH Gumede Street, B North
Ulundi KwaZulu-Natal 3838",767208793,mtl.leeut@gmail.com,Mbali Majola,25-Jan-24,24-Jan-29
,Myganet (Pty) Ltd,QCTOASC00210726-2506,91761,"Occupational Certificate: Electrician
","47 Commercial Road, Acardia East London",437222578,myganet01@gmail.com,Vincet Khumalo,06-Dec-21,05-Dec-26
,Nandzu Trade Test and General Projects CC,09-QCTO/AC-TTC250124115725,91761,Occupational Certificate: Electrician,37 Park Street Phalaborwa Limpopo 1390,"0152977806
0734043132",caroline@ncngroup.co.za nandzutraining@ncngroup.co.za,Nkhensani Caroline Sibiya,25-Jan-24,24-Jan-29
,National Technologies Implementation Platform (Pty) Ltd (NTIP) - Cape Town,QCTOASC00210726-2538,91796,Occupational Certificate: Toolmaker,"Unit D9, Entrance 2 Connaught, Corner McGregor and Riley Streets Beaconvale Parow 7500",628131301,andred@ptsa.co.za,Andre Davies,06-Jul-22,05-Jul-27
,National Technologies Implementation Platform (Pty) Ltd (NTIP) - Gauteng,QCTOASC00200228- 1917,91796,Occupational Certificate: Toolmaker,"Unit A4, Hermanstad Industrial Park, Corner Es’kia Mphahlele & Moot Street, Pretoria",015 292 0102/,bothamcd@gmail.com,Martin Botha,20-Mar-20,20-Mar-25
,Ndikhoya Dinaledi Services (Pty) Ltd,QCTOASC00210212- 2301,101697,Occupational Certificate: Chef,"Maccauvlei Golf Club, 121 Viljoensdrift Road, Vereeniging","0870041310
0837098794",Lebogangl@ndsacademy. co.za,"Queen Lebogang
Lekotoko",16-Feb-21,16-Feb-26
,Ndlovu Madical Trust,QCTOASC00210726-2544,91782, Occupational Certificate:  Plumber,R25 Uitspanning B Bloempoort 0465,0132629037/26,rmabotja@ndlovu.com,Reason Katsangu,08-Aug-22,07-Aug-27
,Ndlovu Madical Trust,QCTOASC00210726-2544,93627,Occupational Certificate: Bricklayer ,R25 Uitspanning B Bloempoort 0465,0132629037/26,rmabotja@ndlovu.com,Reason Katsangu,08-Aug-22,07-Aug-27
,NG Skills Development Centre,05-QCTO/AC-TTC140922113755,102497,Occupational Certificate: Hairdresser,"119 Snell Parade, John Mantjie, North Beach Durban KwaZulu-Natal 4001",604105090,admin@ngsd.org.za,Nina Eckersley,15-Sep-22,14-Sep-27
,NG Skills Development Centre,07-QCTO/AC-TTC231122081321,102497,Occupational Certificate: Hairdresser,214 Willie Swart Street Pretoria Gauteng 0001,611382660,admin@ngsd.org.za,Nonhlanhla Abegail Mokoroane,23-Nov-22,22-Nov-27
,NG Skills Development Centre,07-QCTO/AC-TTC231122081321,97226,Occupational Certificate: Hairdresser,214 Willie Swart Stree Pretoria Gauteng 0001,611382660,admin@ngsd.org.za,Nonhlanhla Abegail Mokoroane,23-Nov-22,22-Nov-27
,NG Skills Development Centre NPC,05-QCTO/AC-TTC150224145603,102497,Occupational Certificate: Hairdresser,"46 Prince Street, Shop 4 South Beach
Durban KwaZulu-Natal",604105090,admin@ngsdc.org.za,Zakiah Bux,15-Feb-24,14-Feb-29
,NG Skills Development Centre NPC,05-QCTO/AC-TTC150224161242,102497,Occupational Certificate: Hairdresser,"34 Turnbull Street, Empangeni KwaZulu-Natal",845809566,admin@ngsdc.org.za,Maureen Muller,15-Feb-24,14-Feb-29
,NG Skills Development Centre NPC,05-QCTO/AC-TTC150224161836,102497,Occupational Certificate: Hairdresser,"10 Douglous Crowe Drive, Fiest Floor, Suite 5
Silvertone Way KwaZulu-Natal",828801141,admin@ngsdc.org.za,Vakash Chitradow,15-Feb-24,14-Feb-29
,NID Training NPC,AC-TTC241123141428,102296,Occupational Certificate: Cook,"Unit G 35, Millenium Park 42 Stellenberg Road, Parow Industrial Cape Town Western Cape","0876302438
0733840450",astridsmith@nidtraining.org.za,Astrid Smith,24-Nov-23,23-Nov-28
,Nkangala TVET College,08-QCTO/AC-TTC150224130839,91761,Occupational Certificate: Electrician,3 Van der Byl Emalahleni Mpumalanga 1035,834354194,Mzimela.s@nkangalafet.edu.za,S.P Mzimela,15-Feb-24,14-Feb-29
,Nkangala TVET College,08-QCTO/AC-TTC150224130839,93626,"Occupational Certificate: Boilermaker
",3 Van der Byl Emalahleni Mpumalanga 1035,834354194,Mzimela.s@nkangalafet.edu.za,S.P Mzimela,15-Feb-24,14-Feb-29
,Nkangala TVET College,08-QCTO/AC-TTC150224130839,94021,"Occupational Certificate: Mechanical Fitter
",3 Van der Byl Emalahleni Mpumalanga 1035,834354194,Mzimela.s@nkangalafet.edu.za,S.P Mzimela,15-Feb-24,14-Feb-29
,Nkangala TVET College,08-QCTO/AC-TTC150224130839,94100,Occupational Certificate: Welder    ,3 Van der Byl Emalahleni Mpumalanga 1035,834354194,Mzimela.s@nkangalafet.edu.za,S.P Mzimela,15-Feb-24,14-Feb-29
,Nkangala TVET College,08-QCTO/AC-TTC150224130839,97585,Occupational Certificate: Millwright,3 Van der Byl Emalahleni Mpumalanga 1035,834354194,Mzimela.s@nkangalafet.edu.za,S.P Mzimela,15-Feb-24,14-Feb-29
,Nkangala TVET College,08-QCTO/AC-TTC150224130839,94020,"Occupational Certificate: Fitter and Turner
",3 Van der Byl Emalahleni Mpumalanga 1035,834354194,Mzimela.s@nkangalafet.edu.za,S.P Mzimela,15-Feb-24,14-Feb-29
,North West Training Centre,AC-TTC231123183709,91761,Occupational Certificate: Electrician ,9 Berg Street Ventersdorpp North West,678640956,mark@ntctraining.co.za,Jaquelene Lourens,23-Nov-23,22-Nov-28
,Northern Cape Urban TVET College,03-QCTO/AC-TTC191022225936,94022,Occupational Certificate: Carpenter,"777 Nobengula Street, Mankurwane
Kimberley Northern Cape 8345",053 802 4700,thete@ncutvet.edu.za,Vinolia Thete,19-Oct-22,18-Oct-27
,Northern Technical College,QCTOASC00210727- 2350,91761,Occupational Certificate: Electrician,"Stand 150, Industrial Area,
Thohoyandou 0950",159644101,collins@northerntech.co. za,Nthangeni Collins,26-Jul-21,25-Jul-26
,Northern Technical College NPC,AC-TTC030823101813,91782,Occupational Certificate: Plumber,"Stand No 150, Industrial Area, Muledane
Thohoyandou Limpopo 0950",159644101,collins@northerntech.co.za accreditationsmichael@gmail.com,Nthangeni Collins,02-Aug-23,01-Aug-28
,Northern Technical College NPC,AC-TTC030823101813,94022,Occupational Certificate: Carpenter,"Stand No 150, Industrial Area, Muledane
Thohoyandou Limpopo 0950",159644101,collins@northerntech.co.za accreditationsmichael@gmail.com,Nthangeni Collins,02-Aug-23,01-Aug-28
,Northern Technical College NPC,AC-TTC030823101813,93627,Occupational Certificate: Bricklayer,"Stand No 150, Industrial Area, Muledane
Thohoyandou Limpopo 0950",159644101,collins@northerntech.co.za accreditationsmichael@gmail.com,Nthangeni Collins,02-Aug-23,01-Aug-28
,Northlink TVET College,QCTOASC00210429- 2324,94020,Occupational Certificate: Fitter and Turner,Jakes Gerwel Drive SAS Naval Base – Goodwood Wingfield,"0215919207
0215915147",henri.mafoumba@northli nk.co.za,Henri Mafoumba,30-Apr-21,30-Apr-26
,Northlink TVET College (Belhar Campus),01-QCTO/AC-TTC260523123931,93626,Occupational Certificate: Boilermaker,"1 Proton Street, Belhar
Cape Town Western Cape 7493",021 952 2113,pat.lawrence@northlink.co.za,Pat Lawrence,26-May-23,25-May-28
,Northlink TVET College (Belhar Campus),01-QCTO/AC-TTC260523123931,91761,Occupational Certificate: Electrician,"1 Proton Street, Belhar
Cape Town Western Cape 7493",021 952 2113,pat.lawrence@northlink.co.za,Pat Lawrence,18-Aug-23,25-May-28
,Northlink TVET College (Bellville Campus),01-QCTO/AC-TTC260523124234,91761,Occupational Certificate: Electrician,"Sackson Street, Bellville South
Cape Town Western Cape 7530",021 951 2231,cebisa.manyela@northlink.co.za,Pat Lawrence,26-May-23,25-May-28
,NTC North West Training Centre (Pty) Ltd,QCTOASC00210726-2515,91782,Occupational Certificate: Plumber,9 Berg Street Ventersdorp 2710,018 264 4798,Mark@ntctraining.co.za,Mark Jansen Van Vuren,09-Mar-22,08-Mar-27
,Opportunity Learning Centre (Pty) Ltd,09-QCTO/AC-TTC150224123245,91761,Occupational Certificate: Electrician,"3825 Zone 2, Seshego Polokwane Limpopo",721085346,pheladimg@yahoo.com,Pheladi Gwangwa,15-Feb-24,14-Feb-29
,Optimum Engineering Training,QCTOASC00210726-2516,94020,Occupational Certificate: Fitter & Turner,"39 Kelly Road, Jet Park Boksburg 1459",010 005 3860,tonyr@otimumlearn.com,Tony Reddy,09-Mar-22,08-Mar-27
,Optimum Engineering Training,QCTOASC00210726-2516,91761,Occupational Certificate: Electrician,"39 Kelly Road, Jet Park Boksburg 1459",010 005 3860,tonyr@otimumlearn.com,Tony Reddy,09-Mar-22,08-Mar-27
,Optimum Engineering Training (Pty) Ltd,AC-TTC231123190434,91761,Occupational Certificate: Electrician ,"39 Kelly Road, Jet Park, Unit D2, Pelisades, Business Park Boksburg Gauteng 1459",100053860,,Tony Reddy,23-Nov-23,22-Nov-28
,Optimum Engineering Training (Pty) Ltd,AC-TTC231123190434,94021,"Occupational Certificate: Mechanical Fitter
","39 Kelly Road, Jet Park, Unit D2, Pelisades, Business Park Boksburg Gauteng 1459",100053860,,Tony Reddy,23-Nov-23,22-Nov-28
,Optimum Engineering Training (Pty) Ltd,AC-TTC231123190434,97585,Occupational Certificate: Millwright,"39 Kelly Road, Jet Park, Unit D2, Pelisades, Business Park Boksburg Gauteng 1459",100053860,,Tony Reddy,23-Nov-23,22-Nov-28
,Optimum Engineering Training (Pty) Ltd,AC-TTC231123190434,94020,"Occupational Certificate: Fitter and Turner
","39 Kelly Road, Jet Park, Unit D2, Pelisades, Business Park Boksburg Gauteng 1459",100053860,,Tony Reddy,23-Nov-23,22-Nov-28
,Orbit TVET College,QCTOASC00210726-2533,117237,Occupational Certificate: Diesel Mechanic,Mabele A Pudi Mogwase 0314,"0125552950
0722931921",pmatlou@orbitcollege.co.za,Malope Peter Matlou,02-Jun-22,01-Jun-27
,P and A Sheet metal Training Academy,05-QCTO/AC-TTC260523130358,93626,"Occupational Certificate: Boilermaker
","15 Pineside Road, New Germany
Durban KwaZulu-Natal 03610",071 884 1778,leigh@pinionadams.co.za account@pinionadams.co.za,Leigh Madurai,26-May-23,25-May-28
,P and A Sheet metal Training Academy,05-QCTO/AC-TTC260523130358,94100,Occupational Certificate: Welder,"15 Pineside Road, New Germany
Durban KwaZulu-Natal 03610",071 884 1778,leigh@pinionadams.co.za account@pinionadams.co.za,Leigh Madurai,26-May-23,25-May-28
,P and T Technology (Pty) Ltd,AC-TTC120923160336,91761,Occupational Certificate: Electrician,"141 Lamp Road, Wadeville Germiston Gauteng",0118274113/6,paul@pandttechnology.co.za,Paul Van Eeden,12-Sep-23,11-Sep-28
,P and T Technology (PTY) Ltd,QCTOASC00190509-1626,91761,Occupational Certificate: Electrician,"141 Lamp Road, Wadeville, Germiston",011 827 4113/6,info@pandttechnology.co.za,"Nick du
Plessis",15-May-19,15-May-24
,P&A Fabricators (Pty) Ltd,AC-TTC140723103805,94100,Occupational Certificate: Welder,"15 Pineside Road , New Germay
Pinetown KwaZulu-Natal 3620",718841778,leigh@pinionadams.co.za,Leigh Madurai,14-Jul-23,13-Jul-28
,P&A Fabricators (Pty) Ltd,AC-TTC140723103805,93626,Occupational Certificate: Boilermaker,"15 Pineside Road , New Germay
Pinetown KwaZulu-Natal 3620",718841778,leigh@pinionadams.co.za,Leigh Madurai,14-Jul-23,13-Jul-28
,PCD College (Pty) Ltd,QCTOASC00210727- 2352,91782,Occupational Certificate: Plumber,651 Veronica Street Montana 0182,123355793,kb@pcd.co.za,Karin Buchling,26-Jul-21,25-Jul-26
,PCD College (Pty) Ltd,QCTOASC00210727- 2352,91761,Occupational Certificate: Electrician,651 Veronica Street Montana 0182,123355793,kb@pcd.co.za,Karin Buchling,26-Jul-21,25-Jul-26
,Phemphetse Trading and Projects,08-QCTO/AC-TTC250124111611,91761,Occupational Certificate: Electrician,"Klarinet Woskshop, No: 3 Sonate Street
Emalahleni Mpumalanga 1039",832943236,info@phemphetsegroup.co.za compliance@phemphetsegroup.co.za,Michael Mlotshwa,25-Jan-24,24-Jan-29
,Phemphetse Trading and Projects,08-QCTO/AC-TTC150224122133,94100,Occupational Certificate: Welder    ,"Klarinet Woskshop, No: 3 Sonate Street
Emalahleni Mpumalanga 1039",832943236,info@phemphetsegroup.co.za compliance@phemphetsegroup.co.za,Michael Mlotshwa,15-Feb-24,14-Feb-29
,PMT Construction and Engineers (Pty) Ltd,07-QCTO/AC-TTC020324173841,91761,Occupational Certificate: Electrician,520 Main Reef Road Denver Gauteng,114750721,sheriff@teeselectrical.co.za,Sheriff Nkomo,01-Mar-24,28-Feb-29
,Polyoak Business School Pty Ltd ,QCTOASC00210726-2512,93598,Occupational Certificate: Plastics Manufacturing Machine Setter,90 Waterford Road Diepriver 7800,021 710 9222,deon.cupido.polyoak.co.za,Deon Cupido,09-Mar-22,08-Mar-27
,Port Elizabeth Traffic Training College,AC-TTC030823093709,97639,Occupational Certificate: Traffic Officer,"Lakeside Road, Green Bushes
Port Elizabeth Eastern Cape 6001",413904500,granny.sebake@rtmc.co.za,S Vencencie,02-Aug-23,01-Aug-28
,Port Elizabeth Traffic Training College,AC-TTC030823093709,101875,Occupational Certificate: Road Traffic Safety Officer,"Lakeside Road, Green Bushes
Port Elizabeth Eastern Cape 6001",413904500,granny.sebake@rtmc.co.za,S Vencencie,02-Aug-23,01-Aug-28
,Port Elizabeth TVET College,QCTOASC00210726-2533,91782,Occupational Certificate:  Plumber                                      ,Struanway Struandale Gqeberha (Port Elizabeth) 6024,041 509 64897,gerhardusp@pec.edu.za,Gerhard Pretorius,09-Jun-22,08-Jun-27
,Port Elizabeth TVET College,QCTOASC00210726-2533,117237,Occupational Certificate: Diesel Mechanic                     ,Struanway Struandale Gqeberha (Port Elizabeth) 6024,041 509 64897,gerhardusp@pec.edu.za,Gerhard Pretorius,09-Jun-22,08-Jun-27
,Port Elizabeth TVET College,QCTOASC00210726-2533,91782,Occupational Certificate: Automotive Motor Mechanic,Struanway Struandale Gqeberha (Port Elizabeth) 6024,041 509 64897,gerhardusp@pec.edu.za,Gerhard Pretorius,09-Jun-22,08-Jun-27
,Power Pro Technologies ,07-QCTO/AC-TTC140922104611,91761,Occupational Certificate: Electrician,40 Standard Street Nigel Gauteng 1491,011 739 4200,christa@powerpro.co.za,Christa Rheeders,14-Sep-22,13-Sep-27
,Prestige International Academy of Hair and Beauty,07-QCTO/AC-TTC150323090224,102497,Occupational Certificate: Hairdresser,5 Sailor Malan Road Edenvale Gauteng 1609,0114532223/ 0837659023,vania@pita.co.za,Vania Pereira,13-Mar-23,12-Mar-28
,Protech Training (Pty) Ltd,QCTOASC00210726-2501,91761,Occupational Certificate: Electrician,07 MA Du Plessis Street Rosylyn 0182,123476414,thapelo@protechtraining.co.za,Thapelo Mokgonyana,22-Oct-21,21-Oct-26
,Prue Leith Chefs Academy Pty Ltd,AC-TTC201023164850,101697,Occupational Certificate: Chef,"262 Rhino Avenue, Hennopspork, Centre
Centurion Gauteng",126545203,adeles@prueleith.co.za,Adele Sriehler van der Westhuizen,20-Oct-23,19-Oct-28
,PTSA Management Services (Pty) Ltd,AC-TTC201023165431,91796,Occupational Certificate: Toolmaker,"19 Baaken Street, Entrance at: 3 Produce Street, Central Port Elizabeth Eastern Cape 6065",825623087,"theovr@ptsa.coza
martinb@ptsa.co.za",Theo van Rooyen,20-Oct-23,19-Oct-28
,QT Worx (Pty) Ltd,01-QCTO/AC-TTC150224133530,97990,Occupational Certificate: Automotive Motor Mechanic,"44 B Jones Street, Parow Cape Town Western Cape",797354909,bilaladamgee@yahoo.com,Bilal Adamgee,15-Feb-24,14-Feb-29
,QT Worx (Pty) Ltd,01-QCTO/AC-TTC150224133530,97592,Occupational Certificate: Diesel Mechanic,"44 B Jones Street, Parow Cape Town Western Cape",797354909,bilaladamgee@yahoo.com,Bilal Adamgee,15-Feb-24,14-Feb-29
,Qualitas Career Academy,AC-TTC111023125716,102497,Occupational Certificate: Hairdresser,74 West Burger Street Bloemfontein,514475412,Sital@qualitasworld.co.za,Sita Lombard,30-Apr-21,30-Apr-26
,Ri A Fhata Civils,QCTOASC00210726-2530,91782,Occupational Certificate: Plumber,"Site 33, Dumasi, Thohoyandou 0950",081 274 6823,admin@riafhatacivils.co.za,Malelelo Tshifhiwa,09-Jun-22,08-Jun-27
,Ri A Fhata Civils,QCTOASC00210726-2530,93627,Occupational Certificate: Bricklayer,"Site 33, Dumasi, Thohoyandou 0950",081 274 6823,admin@riafhatacivils.co.za,Malelelo Tshifhiwa,09-Jun-22,08-Jun-27
,Ri A Fhata Civils,09-QCTO/AC-TTC280423140741,91761,Occupational Certificate: Electrician,"Site 33, Dumasi Village Thohoyandou Limpopo 0950",081 274 6823,admin@riafhatacivils.co.za,Malelelo Tshifhiwa,25-Apr-23,24-Apr-28
,Rigging Academy of South Africa,05-QCTO/AC-TTC140922111340,102856,Occupational Certificate: Rigger,20 Clubhouse Place Westmead Pinetown KwaZulu-Natal 3610,317008744,rasa1@mmekzn.co.za,Andre Van Kerkhof,14-Sep-22,13-Sep-27
,Route Managemenmt (Pty) Ltd,04-QCTO/AC-TTC171122104714,94100,Occupational Certificate: Welder,40 Piet Human Hamilton Bloemfontein Free State 9301,514076903,frikb@salb.co.za,Frik Burger,17-Nov-22,16-Nov-27
,Sappi Southern Africa Pty. Ltd,08-QCTO/AC-TTC230323133239,91761,Occupational Certificate: Electrician,"N4 Highway, Ngodwana Ngodwana Mpumalanga 1209",013 734 6746,Thys.lubbe@sappi.com,Thys Lubbe,23-Mar-23,22-Mar-28
,Sappi Southern Africa Pty. Ltd,08-QCTO/AC-TTC230323133239,94020,Occupational Certificate: Fitter and Turner,"N4 Highway, Ngodwana Ngodwanaw Mpumalanga 1209",013 734 6746,Thys.lubbe@sappi.com,Thys Lubbe,23-Mar-23,22-Mar-28
,Sappi Southern Africa Pty. Ltd,08-QCTO/AC-TTC230323133239,94021,Occupational Certificate: Mechanical Fitter,"N4 Highway, Ngodwana Ngodwana Mpumalanga 1209",013 734 6746,Thys.lubbe@sappi.com,Thys Lubbe,23-Mar-23,22-Mar-28
,SASOL (Sasolburg),04-CHIETA/AC-TTC280423132101,102156,Occupational Certificate: Chemical Plant Operator,"1 Bergius Road, Midland Site
Sasolburg Free State 1947",073 159 0398,nthabuseng.gole@sasol.com,Jabulile Gole,25-Apr-23,24-Apr-28
,SASOL (Secunda),08-QCTO/AC-TTC280423132804,102156,Occupational Certificate: Chemical Plant Operator,"1 PDP Kruger Street, Secunda Site
Secunda Mpumalanga 2302",066 210 6498,rudi.joubert@sasol.com,Rudi Joubert,25-Apr-23,24-Apr-28
,Sekhukhune Artisan Academy,AC-TTC051223143105,91761,Occupational Certificate: Electrician ,"Stand No. 10001, Sekhukhune TVET College (Apel Campus) Ga-Nchabeleng Limpopo 0741","0761370316
0794296981",Evansshaku@gmail.com,Evans Shaku,05-Dec-23,04-Dec-28
,Sekhukhune TVET College,QCTOASC00210726-2535,94022,Occupational Certificate: Carpenter,Stand 676 Motetema Groblersdal 0473,0132690278/ 0728443872,percymokowa@gmail.com,MP Mabooa,09-Jun-22,08-Jun-27
,Seriti Industrial Assessment Centre (Pty) Ltd,07-QCTO/AC-TTC150224163131,115466,Occupational Certificate: Apparel Pattern Designer Assistant,"1 Wol Street Homelake Extension
Ranfontein Gauteng 1759",105933200,francois@aranda.co.za collegeadmin4@aranda.co.za,Francois Paul Barnard,15-Feb-24,14-Feb-29
,Seriti Industrial Assessment Centre (Pty) Ltd,07-QCTO/AC-TTC150224163131,115455,Occupational Certificate: Apparel Pattern Maker and Grader,"1 Wol Street Homelake Extension
Ranfontein Gauteng 1759",105933200,francois@aranda.co.za collegeadmin4@aranda.co.za,Francois Paul Barnard,15-Feb-24,14-Feb-29
,Seriti Industrial Assessment Centre (Pty) Ltd,07-QCTO/AC-TTC150224163131,103181,Occupational Certificate: Beaming and Sizing Machine Operator,"1 Wol Street Homelake Extension
Ranfontein Gauteng 1759",105933200,francois@aranda.co.za collegeadmin4@aranda.co.za,Francois Paul Barnard,15-Feb-24,14-Feb-29
